mode,year,month,NrPassengers
Boat,2007,1,4
Boat,2007,2,3.6
Boat,2007,3,40
Boat,2007,4,4.3
Boat,2007,5,4.9
Boat,2007,6,5.8
Boat,2007,7,6.521
Boat,2007,8,6.572
Boat,2007,9,5.469
Boat,2007,10,5.145
Boat,2007,11,3.763
Boat,2007,12,2.985
Boat,2008,1,3.175
Boat,2008,2,3.111
Boat,2008,3,3.512
Boat,2008,4,4.164
Boat,2008,5,4.015
Boat,2008,6,5.189
Boat,2008,7,6.016
Boat,2008,8,5.8
Boat,2008,9,4.587
Boat,2008,10,4.285
Boat,2008,11,3.488
Boat,2008,12,3.007
Boat,2009,1,3.014
Boat,2009,2,3.196
Boat,2009,3,3.33
Boat,2009,4,4.049
Boat,2009,5,4.119
Boat,2009,6,4.9
Boat,2009,7,6.444
Boat,2009,8,5.903
Boat,2009,9,4.696
Boat,2009,10,4.212
Boat,2009,11,3.576
Boat,2009,12,3.113
Boat,2010,1,3.207
Boat,2010,2,3.195
Boat,2010,3,3.481
Boat,2010,4,4.452
Boat,2010,5,4.415
Boat,2010,6,5.411
Boat,2010,7,6.513
Boat,2010,8,6.269
Boat,2010,9,4.699
Boat,2010,10,4.402
Boat,2010,11,3.731
Boat,2010,12,3.156
Boat,2011,1,3.14
Boat,2011,2,3.284
Boat,2011,3,3.674
Boat,2011,4,4.251
Boat,2011,5,4.431
Boat,2011,6,5.474
Boat,2011,7,6.581
Boat,2011,8,6.733
Boat,2011,9,5.003
Boat,2011,10,4.484
Bus,2007,1,335.819
Bus,2007,2,338.675
Bus,2007,3,339.867
Bus,2007,4,352.162
Bus,2007,5,354.367
Bus,2007,6,350.543
Bus,2007,7,357.519
Bus,2007,8,355.479
Bus,2007,9,372.598
Bus,2007,10,368.847
Bus,2007,11,330.826
Bus,2007,12,312.92
Bus,2008,1,340.324
Bus,2008,2,352.905
Bus,2008,3,361.155
Bus,2008,4,368.189
Bus,2008,5,363.903
Bus,2008,6,362.962
Bus,2008,7,370.921
Bus,2008,8,361.057
Bus,2008,9,389.537
Bus,2008,10,357.974
Bus,2008,11,345.423
Bus,2008,12,325.767
Bus,2009,1,338.532
Bus,2009,2,360.412
Bus,2009,3,353.686
Bus,2009,4,359.38
Bus,2009,5,354.75
Bus,2009,6,347.865
Bus,2009,7,339.477
Bus,2009,8,332.661
Bus,2009,9,374.26
Bus,2009,10,385.868
Bus,2009,11,366.98
Bus,2009,12,332.394
Bus,2010,1,362.226
Bus,2010,2,361.138
Bus,2010,3,373.443
Bus,2010,4,378.611
Bus,2010,5,380.171
Bus,2010,6,363.275
Bus,2010,7,353.04
Bus,2010,8,343.688
Bus,2010,9,381.622
Bus,2010,10,384.987
Bus,2010,11,367.955
Bus,2010,12,326.338
Bus,2011,1,334.958
Bus,2011,2,346.234
Bus,2011,3,380.399
Bus,2011,4,380.446
Bus,2011,5,385.289
Bus,2011,6,376.317
Bus,2011,7,361.585
Bus,2011,8,353.793
Bus,2011,9,388.271
Bus,2011,10,398.456
Commuter Rail,2007,1,142.2
Commuter Rail,2007,2,138.5
Commuter Rail,2007,3,137.7
Commuter Rail,2007,4,139.5
Commuter Rail,2007,5,139
Commuter Rail,2007,6,143
Commuter Rail,2007,7,142.391
Commuter Rail,2007,8,142.364
Commuter Rail,2007,9,143.051
Commuter Rail,2007,10,146.542
Commuter Rail,2007,11,145.089
Commuter Rail,2007,12,141.585
Commuter Rail,2008,1,142.145
Commuter Rail,2008,2,142.607
Commuter Rail,2008,3,137.453
Commuter Rail,2008,4,140.389
Commuter Rail,2008,5,142.585
Commuter Rail,2008,6,142.057
Commuter Rail,2008,7,145.731
Commuter Rail,2008,8,144.565
Commuter Rail,2008,9,141.907
Commuter Rail,2008,10,151.957
Commuter Rail,2008,11,152.952
Commuter Rail,2008,12,140.81
Commuter Rail,2009,1,141.448
Commuter Rail,2009,2,143.529
Commuter Rail,2009,3,142.893
Commuter Rail,2009,4,142.34
Commuter Rail,2009,5,144.225
Commuter Rail,2009,6,142.006
Commuter Rail,2009,7,137.691
Commuter Rail,2009,8,139.158
Commuter Rail,2009,9,139.087
Commuter Rail,2009,10,137.104
Commuter Rail,2009,11,129.343
Commuter Rail,2009,12,126.066
Commuter Rail,2010,1,130.91
Commuter Rail,2010,2,131.918
Commuter Rail,2010,3,131.252
Commuter Rail,2010,4,131.722
Commuter Rail,2010,5,128.8
Commuter Rail,2010,6,129.144
Commuter Rail,2010,7,122.935
Commuter Rail,2010,8,129.732
Commuter Rail,2010,9,132.892
Commuter Rail,2010,10,131.033
Commuter Rail,2010,11,130.889
Commuter Rail,2010,12,121.422
Commuter Rail,2011,1,128.396
Commuter Rail,2011,2,125.463
Commuter Rail,2011,3,134.374
Commuter Rail,2011,4,134.169
Commuter Rail,2011,5,136.14
Commuter Rail,2011,6,135.581
Commuter Rail,2011,7,132.41
Commuter Rail,2011,8,130.616
Commuter Rail,2011,9,136.901
Commuter Rail,2011,10,128.72
Heavy Rail,2007,1,435.294
Heavy Rail,2007,2,448.271
Heavy Rail,2007,3,458.583
Heavy Rail,2007,4,472.201
Heavy Rail,2007,5,474.579
Heavy Rail,2007,6,477.032
Heavy Rail,2007,7,471.735
Heavy Rail,2007,8,461.605
Heavy Rail,2007,9,499.566
Heavy Rail,2007,10,457.741
Heavy Rail,2007,11,488.348
Heavy Rail,2007,12,448.268
Heavy Rail,2008,1,472.624
Heavy Rail,2008,2,492.1
Heavy Rail,2008,3,494.046
Heavy Rail,2008,4,513.204
Heavy Rail,2008,5,507.952
Heavy Rail,2008,6,518.349
Heavy Rail,2008,7,512.309
Heavy Rail,2008,8,476.99
Heavy Rail,2008,9,517.324
Heavy Rail,2008,10,523.644
Heavy Rail,2008,11,487.115
Heavy Rail,2008,12,446.743
Heavy Rail,2009,1,461.004
Heavy Rail,2009,2,482.407
Heavy Rail,2009,3,467.224
Heavy Rail,2009,4,493.152
Heavy Rail,2009,5,475.634
